epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,53.9048,1.37078,4.4932,1.42494,0,0,0,0,1.18122,4.56436,1.35484,0.000339773,0.000113258,0.000339773,0.000113258,0.000339773,0.000113258,0.000339773,0.000113258
2,93.5931,1.32964,4.4662,1.41095,0.04408,0.05802,0.02947,0.02105,1.18166,4.53704,1.3604,0.000671214,0.000223738,0.000671214,0.000223738,0.000671214,0.000223738,0.000671214,0.000223738
3,143.785,1.30674,4.42667,1.38228,0.02434,0.14585,0.03223,0.02172,1.16302,4.45409,1.33178,0.000988994,0.000329665,0.000988994,0.000329665,0.000988994,0.000329665,0.000988994,0.000329665
4,197.11,1.28435,4.36013,1.35136,0.02051,0.22639,0.04049,0.02644,1.15303,4.36912,1.31902,0.000973521,0.000324507,0.000973521,0.000324507,0.000973521,0.000324507,0.000973521,0.000324507
5,253.723,1.27195,4.2782,1.31396,0.01925,0.25976,0.04682,0.03095,1.15995,4.25379,1.30816,0.000953028,0.000317676,0.000953028,0.000317676,0.000953028,0.000317676,0.000953028,0.000317676
6,320.565,1.29737,4.17945,1.33361,0.01886,0.31102,0.05739,0.03658,1.17959,4.08129,1.29848,0.000932535,0.000310845,0.000932535,0.000310845,0.000932535,0.000310845,0.000932535,0.000310845
7,380.748,1.27325,4.04797,1.31403,0.01938,0.29098,0.06766,0.04404,1.17992,3.90568,1.29124,0.000912042,0.000304014,0.000912042,0.000304014,0.000912042,0.000304014,0.000912042,0.000304014
8,450.277,1.30269,3.91702,1.3371,0.5862,0.03876,0.07711,0.05173,1.19219,3.6975,1.30176,0.000891549,0.000297183,0.000891549,0.000297183,0.000891549,0.000297183,0.000891549,0.000297183
9,518.836,1.32531,3.79322,1.35719,0.47139,0.05748,0.0862,0.0581,1.2032,3.47943,1.30887,0.000871056,0.000290352,0.000871056,0.000290352,0.000871056,0.000290352,0.000871056,0.000290352
10,586.197,1.29984,3.62999,1.32863,0.41786,0.08095,0.1034,0.06954,1.21538,3.28676,1.316,0.000850563,0.000283521,0.000850563,0.000283521,0.000850563,0.000283521,0.000850563,0.000283521
11,651.793,1.27143,3.44773,1.31696,0.45229,0.09543,0.11689,0.07966,1.21973,3.14261,1.31851,0.00083007,0.00027669,0.00083007,0.00027669,0.00083007,0.00027669,0.00083007,0.00027669
12,720.438,1.33564,3.33973,1.33288,0.44085,0.11837,0.13237,0.08943,1.22697,3.03677,1.31773,0.000809577,0.000269859,0.000809577,0.000269859,0.000809577,0.000269859,0.000809577,0.000269859
13,790.279,1.31042,3.24424,1.33261,0.45758,0.15212,0.14863,0.10097,1.22031,2.89983,1.31453,0.000789084,0.000263028,0.000789084,0.000263028,0.000789084,0.000263028,0.000789084,0.000263028
14,858.673,1.30165,3.09678,1.3481,0.56385,0.15884,0.16266,0.11042,1.22656,2.78394,1.32206,0.000768591,0.000256197,0.000768591,0.000256197,0.000768591,0.000256197,0.000768591,0.000256197
15,936.87,1.28348,3.02697,1.34554,0.64019,0.17164,0.17088,0.11394,1.21497,2.68244,1.3279,0.000748098,0.000249366,0.000748098,0.000249366,0.000748098,0.000249366,0.000748098,0.000249366
16,1016.73,1.29003,2.91266,1.35089,0.59601,0.19047,0.18285,0.12034,1.21599,2.57768,1.3265,0.000727605,0.000242535,0.000727605,0.000242535,0.000727605,0.000242535,0.000727605,0.000242535
17,1095.73,1.28589,2.81024,1.33324,0.65295,0.20144,0.19692,0.1284,1.21721,2.5319,1.32776,0.000707112,0.000235704,0.000707112,0.000235704,0.000707112,0.000235704,0.000707112,0.000235704
18,1181.13,1.30742,2.79582,1.35049,0.67497,0.19485,0.19678,0.12803,1.22441,2.44195,1.33709,0.000686619,0.000228873,0.000686619,0.000228873,0.000686619,0.000228873,0.000686619,0.000228873
19,1280.29,1.28538,2.70282,1.3189,0.75389,0.20709,0.21455,0.13893,1.22848,2.37642,1.33992,0.000666126,0.000222042,0.000666126,0.000222042,0.000666126,0.000222042,0.000666126,0.000222042
20,1369.47,1.30381,2.66725,1.33714,0.78665,0.19922,0.21799,0.14007,1.22944,2.31294,1.33709,0.000645633,0.000215211,0.000645633,0.000215211,0.000645633,0.000215211,0.000645633,0.000215211
21,1452.82,1.28856,2.62866,1.32276,0.78637,0.21572,0.23473,0.15073,1.23786,2.28763,1.34204,0.00062514,0.00020838,0.00062514,0.00020838,0.00062514,0.00020838,0.00062514,0.00020838
22,1541.24,1.28493,2.55968,1.32245,0.78069,0.21631,0.24,0.15538,1.22996,2.25607,1.33163,0.000604647,0.000201549,0.000604647,0.000201549,0.000604647,0.000201549,0.000604647,0.000201549
23,1655.6,1.30829,2.49424,1.33314,0.8003,0.18825,0.21009,0.13798,1.22803,2.21495,1.33124,0.000584154,0.000194718,0.000584154,0.000194718,0.000584154,0.000194718,0.000584154,0.000194718
24,1815.8,1.29242,2.46809,1.31055,0.77786,0.21034,0.23543,0.15214,1.2258,2.18851,1.32824,0.000563661,0.000187887,0.000563661,0.000187887,0.000563661,0.000187887,0.000563661,0.000187887
